Age,Salary,Purchased,Country_France,Country_Germany,Country_Poland,Country_Spain,Country_Switzerland,Country_india,Country_indonesia,Country_japan
36.30769230769231,72000.0,0,True,False,False,False,False,False,False,False
27.0,48000.0,1,False,False,False,True,False,False,False,False
30.0,65000.0,0,False,True,False,False,False,False,False,False
38.0,61000.0,0,False,False,False,True,False,False,False,False
40.0,65000.0,1,False,True,False,False,False,False,False,False
35.0,58000.0,1,True,False,False,False,False,False,False,False
36.30769230769231,52000.0,0,False,False,False,True,False,False,False,False
48.0,79000.0,1,True,False,False,False,False,False,False,False
50.0,83000.0,0,False,True,False,False,False,False,False,False
37.0,67000.0,1,True,False,False,False,False,False,False,False
38.0,67000.0,1,False,False,False,False,False,False,True,False
30.0,67000.0,1,False,False,False,False,False,True,False,False
34.0,68000.0,1,False,False,False,False,False,False,False,True
35.0,78000.0,0,False,False,False,False,True,False,False,False
30.0,45000.0,1,False,False,True,False,False,False,False,False
